Wavelength (nm),spheres,cubes,decahedra,rods
400,1,1.00001,0.41182,0.16839
401,0.99829,0.99828,0.41171,0.16802
402,0.99587,0.99637,0.41116,0.16751
403,0.99271,0.99448,0.41139,0.16709
404,0.99001,0.99236,0.41103,0.16673
405,0.98804,0.99102,0.41054,0.1663
406,0.98446,0.98821,0.41048,0.1657
407,0.9832,0.98602,0.41038,0.16543
408,0.98091,0.98431,0.41014,0.16492
409,0.97883,0.98328,0.40965,0.16447
410,0.97621,0.98046,0.40952,0.16425
411,0.97442,0.97917,0.40922,0.16371
412,0.97235,0.97628,0.40896,0.16338
413,0.97,0.97413,0.40862,0.16289
414,0.96663,0.97221,0.4081,0.16252
415,0.96469,0.9703,0.40802,0.16221
416,0.96332,0.96782,0.40738,0.16183
417,0.96114,0.96625,0.40733,0.16139
418,0.9581,0.96468,0.40711,0.16097
419,0.95647,0.96286,0.40637,0.1607
420,0.9541,0.9613,0.40628,0.16029
421,0.95183,0.95901,0.40585,0.15986
422,0.94992,0.95699,0.40512,0.15954
423,0.94793,0.95525,0.4055,0.15916
424,0.94749,0.95334,0.40485,0.15877
425,0.94479,0.95158,0.40481,0.1584
426,0.94348,0.94958,0.40394,0.15809
427,0.9418,0.94721,0.4038,0.15775
428,0.94024,0.94535,0.40337,0.15726
429,0.93788,0.94312,0.40296,0.157
430,0.93668,0.94162,0.40257,0.15667
431,0.93461,0.93972,0.40257,0.15636
432,0.9316,0.93765,0.4022,0.15602
433,0.93105,0.93682,0.40163,0.15573
434,0.93022,0.93455,0.40137,0.15531
435,0.92842,0.93281,0.40081,0.15493
436,0.92725,0.93174,0.40027,0.15464
437,0.92524,0.9291,0.39995,0.15421
438,0.92323,0.92676,0.39965,0.15391
439,0.92182,0.92495,0.39886,0.15367
440,0.92007,0.92383,0.39863,0.15336
441,0.91836,0.92189,0.39832,0.153
442,0.91667,0.91989,0.39717,0.15263
443,0.91661,0.91835,0.39682,0.15234
444,0.91478,0.91654,0.39665,0.15191
445,0.91373,0.91464,0.39674,0.15168
446,0.91299,0.91299,0.39596,0.15139
447,0.91254,0.91105,0.39505,0.1512
448,0.91148,0.90974,0.39437,0.15087
449,0.91099,0.90741,0.39391,0.15058
450,0.90967,0.90618,0.39325,0.1503
451,0.9095,0.90454,0.39274,0.15007
452,0.90893,0.90317,0.39168,0.14986
453,0.90816,0.90225,0.39162,0.14972
454,0.90782,0.90131,0.39114,0.14939
455,0.90892,0.90045,0.39054,0.14922
456,0.90795,0.89811,0.38976,0.14903
457,0.90786,0.89852,0.38927,0.14886
458,0.90829,0.89674,0.3886,0.14872
459,0.90955,0.89595,0.38774,0.14862
460,0.91016,0.89492,0.3873,0.14855
461,0.91016,0.894,0.38646,0.14852
462,0.91084,0.89314,0.3858,0.14842
463,0.91102,0.89235,0.38538,0.14847
464,0.91196,0.89234,0.38463,0.1483
465,0.91302,0.89166,0.38421,0.14845
466,0.91552,0.89134,0.38342,0.14866
467,0.91711,0.89095,0.3827,0.14872
468,0.91886,0.89116,0.38234,0.14896
469,0.92154,0.89097,0.3818,0.14913
470,0.92398,0.89085,0.38123,0.14933
471,0.92625,0.89099,0.38071,0.14974
472,0.92923,0.89188,0.38022,0.15003
473,0.93145,0.8924,0.37985,0.15047
474,0.93559,0.8933,0.37926,0.15102
475,0.93903,0.89474,0.37924,0.15153
476,0.94317,0.8964,0.37892,0.15216
477,0.94804,0.89777,0.37865,0.15288
478,0.95369,0.89994,0.37856,0.15365
479,0.95934,0.9025,0.37852,0.15449
480,0.96563,0.90527,0.37863,0.15543
481,0.97279,0.90839,0.37883,0.15641
482,0.98056,0.91207,0.37897,0.15738
483,0.98789,0.91552,0.37916,0.1585
484,0.99756,0.92008,0.37977,0.15968
485,1.01012,0.92759,0.38031,0.16083
486,1.01818,0.93064,0.38165,0.162
487,1.02708,0.93389,0.38302,0.16326
488,1.04073,0.94354,0.38419,0.1645
489,1.05697,0.95229,0.3852,0.16573
490,1.07123,0.96097,0.3868,0.16684
491,1.08766,0.97077,0.38896,0.168
492,1.10562,0.98098,0.39104,0.16898
493,1.12468,0.99143,0.39287,0.16995
494,1.14547,1.00328,0.39559,0.17091
495,1.16764,1.01638,0.39861,0.1716
